comment,toxic
типичный новиопский даун хохол вышиванки хохол узбек тюбетейки узбек,1.0
стиле ванги любите ваши предложения дружбы воспринимаются просьбы подружить вами унылое ебало воспринимается болезнь подсознании типа беги больного стремятся дружить людьми знакомством которыми похвастаться говорю тру друзей приятелях стремятся выбрать интересных людей рецепт одеваешься максимально красиво ид шь мероприятие которое постоянно откладывала самое главное получаешь удовольствие новых впечатлений ощущением похуй ваше отношение люди подтянуться подтягиваются нужны дружбу хз это любовь либо вез т либо,0.0
любом тоталитарном государстве основой является удержание власти лидером государства течение максимального срока начале прикрываясь законодательством затем меняя предлогом чаяния народных масс впоследствии деформированное законодательство вместе раскрученным маховиком надуманных статей начинает крушить порой своих создателей маниакальное стремление оставаться власти панический страх созревания заговора среди недовольных соратников побуждало сталина убирать мало мальски авторитетных думающих людей власти потенциальных конкурентов рядом оставались лизоблюды вилявшие задницей угодливо заглядывающие глаза вождю сажали убивали членов семей таких примеров тысячи созданный комбайн репрессий косил разбора соратников вождя успел убежать страны иные остались веря авторитет заслуги родиной защитят кары просчитались те другие прадед священник мелкой церкви закрытия е коммунистами ходил домам просьбе верующих крестил причащал тд арестовали статье агитация против советской власти расстреляли дня семья долгие годы надеялась сидит тюрьме лгали нквд какую реальную опасность представлял советской власти году понятно человека убили просто отчета дабы отрапортовать верхах работа выявлению врагов ведется успешно враги впоследствии система отомстила усатому пролежал луже мочи помощи несколько часов соратники партии страха другим причинам интересовались долгим отсутствием закончил хрущов вначале плясавший гопака пьянках прихоти сталина решив расквитаться унижения докладом хх съезде верхушка побоявшись возникновения нового диктатора тихому убрала пока набрал авторитета извиняться репрессии кем стали сказали просто ошибка вышла кем бывает партию обижаются популярная фраза время демократических государствах облажавшемуся правительству дают сраку судят наказывают странах диктатурой запуганный народ приходит флагами хоругвями площади славит существующую власть кухнях традиции пьют водку жалуются друг другу тех пытается открыть рот называют пидорасами публично высмеивают продолжают бываться существует множество законных способов успокоить поциента надолго закрыв статье статей судьи понятливые,0.0
ррряяяяя пшла нахуй свой петушиный загон вахт ропидарашка,1.0
туберкулез убивает спасибо поржал туберкулез скольки одного двух процентов скольки присутствующих прокрастинация никого убивает коммент допишу завтрашнего дня начну одноклеточные умнее,1.0
почему ваши посты яро заминусованы,0.0
видео ссылка статью почитайте дружу семьей детей домашнем обучении верю вс дело школе также статье приведены факты относительно края происходит совпадение притянуто уши факт факт,0.0
маках кнопки агрессивному быдлу обычно плевать пока мордой пол уложат,1.0
сраных ватников жопы горят любо смотреть,1.0
помню пожалуй подписоты вроде снимал простенько вебки т е ебалом светил т норм играл простенькие игры типу майна самое последнее адекватное видео поздравительное подрисчиков интересным чтоль веялом тытубе подобных форматов аля скетчи влоги вспомню дальше пошел полнейший тренд ец светило ебалом какие скетчи смехуечками естестна смешными дерградантов кривляние вообщем тащемта полная херня увидел миллионов подрисчиков устроил скучный стрим нахер отписался дизу поставил,1.0
сука голове,1.0
осторожней сверхман врах предыдущей методичке написано добрые арабы кем воевали торговали пряностями лел шапочку фольги сними,1.0
хуй пойми минусуют ищу такую девушку посмел нам указывать ко ко ко это мои интересы странная хуета высказываешь позицию оказывается угнетаешь девушек вообще должен заткнуться засунуть сво мнение задницу,0.0
франция сотни десятки тысяч людей митингуют большие потери пресечении результат нулевой пока охренненно января года радио классик люк ферри бывший министр делам молодежи образования философ призвал стрелять желтым жилетам задействовать армию фрас суар реакция властей февраля года премьер министр филипп отвечая вопросы депутатов национального собрания сообщил вс время протестов ноября года осуждены различные правонарушения ходе выступлений участников движения ожидают приговора выданы ордера арест человек против человек применена немедленная доставка суд человек привлечены расследованию вандальные действия отношении триумфальной арки декабря года ещ пятеро поджог день полицейской префектуры ле пюи ан веле февраля суд безье приговорил одного человека году тюремного заключения создание препятствий движению хищение турникетов порчу оборудования контрольном пункте платной автострады период февраля года февраля года бывший бокс р кристоф деттингер приговор н исправительным судом парижа одному году ограничения свободы нападение двоих жандармов мосту леопольда седара сенгора ходе акции лтых жилетов января февраля года харизматичных лидеров движения водитель грузовика эрик друэ приговор н исправительным судом парижа одному месяцу тюремного заключения условно евро штрафа организацию манифестаций предварительного уведомления короче наверное меньше осудили,0.0
обиделся плачь любя дружески,0.0
блять почему решил нужно твое мнение,1.0
уважаемые подследственные пожалуйста ведите культурно пытках просим орать слишком громко поберегите свои голосовые связки ведите достойно мужественно берите пример святых страстотерпцев бориса глеба непроизвольная дефекация мочеиспускание з п р е щ е т штраф уборка языком стесняйтесь подписывать предложат помните оттягиваете неизбежное наши палачи признаны дипломированными специалистами всем мире уважением администрация,1.0
пиздабол стас работал каким диктором это проц человек ебаклак,1.0
это тебе легче,0.0
мелкий начитался додыр едим лифте заходят негра внимательно осмотрел одному смотря глаза погнал ах грязный умытый значит ху сына растишь знает черные люди самого дества знал черные белые прочие люди толераст прочее хотя толерантности плохого просто это ярко выраженный нацик аж тошно становится,1.0
хер никакой экологии назуй разница будем посмотреть еврей чтоли,1.0
часто выступаель людьми толкаешь речь помню сцене обделался забыл свете слава богу говорить кличко сравнению мной казался богом парится волнуется временем взять руки привыкнуть кого общение публике каждый вызывает панику отбивает мозги,0.0
штатный провокатор гебни бывших бывает,1.0
узкоглазые муслимы якуты вся суть лахтодырого пидоранделя нихуя знает шарит кукаркает,1.0
чувак перечитай ещ свой комментарий признался корыстном интересе своем,0.0
дрозд рябинник поедающий боярышник забыл лицо своего отца,0.0
едет блондинка хорошем автомобиле останавливает гаишник разговора протягивает баксов естественно берет спрашивает слышь красавица откуда такие деньги такая машина кем работаешь минетчица хуй сосешь почему такая машина такие деньги это хуй сосешь минетчица,0.0
возбуждает жена переодевается медсестру клизмует,0.0
типичный залупинец фонат даунбасса отвратительное зрелище те дети борцуны хохлами полюбуйтесь,1.0
кинь ссылку свой пост пожалуйста это видимо треде гуру недавно кидал скрины постов потонул понасю микрофон рот кураев всадил опровергла это гуру говорил всадил дверь подп р той стороны,0.0
именно дартаньян остальные гавно,1.0
самый сброд червей пидоров это черви пидоры перечисленные тобой далее люди это черви пидоры гуголплексе стаса какай просто автор абсолютно неинтересного технического блога ютабе пускай честного отличие виласкома ничуть менее унылого любитель шутечек куканы поопускать маргиналов тему присаживал т лку соболева говорящая голова народных масс своего мнения имеет жизни сделает ролик какому либо малооглаш нному поводу хайповому выскажет какую либо точку зрения кроме той которая угодно большинству жизни описанию очевидцев быдловат продавал жопу собянину чсх похвастаться никто оп треда кроме хованского амирана дневника хача понимал кому вообще нахуй нужен кому полном серь зе доставлять наблюдать жизнью мажора рабовладельца сообщающего полезного хотя жить летсплеи сто порядков высокоинтеллектуальный нужный контент блеадь продавал жопу собянину петушария педофил кремлебот просто комментс гоблина охуенный переводчик человек говно указанные оп треде личности определ нно могут интеллектуальные дискуссии определ нно являются сцанными быдланами продают жопу праздникам несмотря это неебаться борцуны активной политической позицией борцунство почему совком сралиным члениным которых айтипедика немалая часть контента посвящена борьбе именно текущей властью которых всем похуй кроме пары десятков тыщ сектантов лол рили понимаешь ч м соль тебе напомнить единственный человек которого рейтинг выше пыни это сталин населения россии рот ебали пыню едро тащемта хотели вернуться совок борцунство благеров преимущественно совком,1.0
дети внуки главное правильно воспитать нашей вами жизни шваль хватит,0.0
топовые хохлухи час ептыть это менее трешку спидозные жинки атошек ебать такое шлюхи москве дорогие сука,1.0
столько сколько пукаешь воздух попытке оправдать пидорашенскую пиздецовскую реальность это просто смешно,1.0
ахах чувак скажи пошутил неудачно иначе это пиздец,1.0
мань тебе задал прямой вопрос гомофоб исламист католик атеист будут уживаться соседству анальных карательных законов будешь мирить ответь пожалуйста юродивый,1.0
тупые дуры знают банан,1.0
хули эмотивист ссаный маргинал говорил взрослого жалко зиготу это сраные эмоции этика рационализирует мораль уберает противоречия хуй мутный,1.0
ещ проо диван фитнес центре вспомни,0.0
боже потратил свое время граф редакторе это слелать жалкая жизнь тратишь воемя такое,1.0
ладно сто лет назад власть захватил открыто антирусский режим мордор мордор недавно никто мог представить такого пиздеца,0.0
хохлы пидоры хохол кроватью,1.0
средняя начисленная зарплата полному кругу организаций украинского временно оккупированного полуострова крым январе декабре года составила рублей сообщается сравнению январем декабрем года размер зарплаты увеличился наиболее оплачиваемым экономике украинского крыма относятся работники сферы финансовой страховой деятельности среди промышленных видов деятельности предприятия добыче полезных ископаемых зарплата превысила средний показатель экономике республики раза сообщается ближайшие лет экономика временно оккупированного украинского крыма расти год,0.0
двачую анончик олечка просто идеал женщины,0.0
забанили дойта трете ету картинку идите туда запостите картинку попросити разбанили,0.0
минусить начнут анекдоты которые повторяются поста пост рассказал тебе палатку шаурмой нюанс карта поперла знаешь правила,0.0
дрочки похоже ослеп,1.0
нем третий пост пишешь пишешь тебе скучно хочешь пообщаться время сменить тему,0.0
лурочка эльдорадо быдлорадо елдарада дилдорадо эльдорабство быдлосеть быдломагазинов быдлотехники быдлоэлектроники быдла,1.0
автор обиду прожила года волгограде концентрация быдла огромная чиновники одни самых охуевших рф,1.0
рашка неиронично вста т колен пока хохлы кидаются плюшевыми свиньями своего главсвина,1.0
россии пола гомосеком стыдно опасно негры это негры афроктототам женщины имеют прав мужчины поэтому ебутся всеми делами такие умные аборты тебе похуй денег захотел дать давай остоебенело читать подзалупную иностранщину кого это говно переводят наш язык нам благородной подагры ещ коклюшами скарлатинами века гаком болеть горчичники учиться крутить мусь тарелки подлизывать,1.0
доиграешься своей русофобией,1.0
оу думал отвечаю прошу прощения перепутал комментатора,0.0
сноске откровения виляй жопой челядь твоя претензия тому ссылка якобы взята непроверенного источника ткнул твоей неумытой харей пойман руку подлец дешевка,1.0
давай отбери нож клоун махну рукой твои яйца разлетятся всему арбату,1.0
некоторых странах перерыв пять минут середине фильмов правда пока рекламы,0.0
теме гомофорса давай общем нахуя машешь банхамером это лично твоя доска нравится общаются некоторые аноны пили свой сайт наводи собственные порядки выглядит встав утра той ноги начинаешь раздавать баны увидев некий намек срач пытаясь искусственно зарегулировать доску какое свое виденье доска должна выглядить системность следования правилам раздела отсутствие избирательного отношения фаворитизма отношению тому иному форсу залог стабильного постинга честной доске несешь шизофреник задроченный честная доска таблеток принял тебе вообще дал ограничивать право форс других людей тому относительно фентези сука это игра выдуманное але вообще имеешь против гомиков говна кусок стесняешься решил открыто ссать всем обитателям лицо надоели стали больно натужными форсед другому лично тебе повторюсь создавай свой сайт поэтому аноны упорствующие гомофорсе могут будут забанены средние сроки неделю две вообще охуел чушок залетит такое быдло вконтактов пикабу возьмет модераторку давай своих туповатых взглядов раздавать баны право лево особо упорствующие могут попасть пермач считаю должны снять доски абу обрати внимание это ебанейший аутист таким вообще никакой власти доверять это неполноценные люди доске компьютерную игру поехал дружок,1.0
пилят началу зависит советы шь мужик посте теме хера понимаешь,1.0
рейтинга хватает гифку прицепить,0.0
работы пьяный прип рся заказ сдали ещ заказ минет изобрели говорю собирай манатки пиздуй маме,0.0
бмвизм головного мозга,1.0
оставить полгода порнушки секса такое начнешь тыкать,1.0
просто ник автора наверное,0.0
налог платят цыганскому барону организатору этих лжеинвалидов,1.0
писать докторски умеете,0.0
испанский стыд фашистские отродия должны испытывать лишний убедиться вами человечески жить хер заочно нелюди записали,1.0
малолетнему дебилу открылся дзен пришло просветление поздно верит рассказам сокамерников своей невиновности дебил малолетний поделаешь хотя считает ч м виноватым плохие законы сажают наркотики орнул дегенерат короче этому петуху место изоляции,1.0
психиатру ко видите,1.0
видимо умный,1.0
поготь какие лет позапрошлом году школу закончил,0.0
прибыл районе тыс тенге тыс рублей,0.0
нихуя обои возле розеток находятся какие нахуй провода должны обвивать занавески провода изоляциии никакой искры нагрев искры бывает входит искрением искрит постоянно работе чувак немного отличается набрал написано сизы используются безопасного соединения проводов чо хотел сказать аллюминий соединишь дык запрещен проводки помещениях быстрозажимные клеммы блядь соединения пары проводов потолком реально занимался электромонтажем никуя занимался лет мозги ебал чувак пойми соединять коробке соединять пару проводов это разные вещи почему вопрос цене чувак,1.0
фейковые недостоверные новости это источник твоих доводов вопросов пиши дальше подобные посты,1.0
веселить соседей вейп курить гироскутер двумя оседлать тебе каждому нынче петухом обозвать,0.0
забыл добавить чурка пожизненно сибири лес валить,1.0
бабок спорта хочется покупаешь пс хороший монитор наушники руль покупаешь гран туризмо спорт дирт последний признает автоспортом проводит официальные чемпионаты хотя дирт уверен либо прокатный картинг обычно р минут научишься вариант покупки своего карта цена карт двигвтеля прокатного хватает понять свой скил найти свой лимит например улучшения времени еженедельных заездов хватает карт свой ездить чаще считаю такие траты хобби необоснованными времени хватает,0.0
какие русняаые выродки мрази пиздец просто скотство жестокость тупость жадность это русскость надеюсь пидораху загрызут собаки пырнут ножом быдланы,1.0
иди вари можешь посолить ещ перца добавить,0.0
такое кричу шизик просто рад разъебу очередного социалистического гнойника алсо сербы доебали муслимов вообще начиная хорватов словенцев македонцев заканчивая практически теми самыми сербами которые предпочли называть черногорцами сербы играли роль народа фашиста югославия тюрьму народов дырявое лахтинское уебище пытаешься представить конфликт войну хороших христиан плохими мусульманами такое поведется знающий историю даун либо комнатный фашист изучающих историю форчану любом случае ссу тебе личико,1.0
это говорит человек ником скотобой,0.0
впервые докопался ждать второго третьего раза поставить утырка место таким утырком школе тебе обидно новенький поставил место,1.0
ваш способ отлично цыган действует,0.0
ненужный кусок говна лезет щели изо рта,1.0
поди пораньше работать кончаешь мб,1.0
начал итогу доебался орфографии разница екатерино красно славка ежели такая хуйня творится царское название казаков пукнул ал шенька хуй трамвайной ручкой путай,1.0
гомогеев убивал,0.0
волжские буглары пидарасы мимо астраханский татарин,1.0
любителям пострулять важно тролль писал комент агрессию оправдать помещается головушке собак выкидывали улицу будут выкидывать вне зависимости ведется отстрел,1.0
знаю показал способны сделать объективных выводов исторического процесса каким выводам пришли уважаемый коллега точки зрения научной марксистско ленинской позиции лично мои выводы вполне очевидны ссср обосрался словами шмогла шмогла кинул сотни миллионов собственноручно воспитанных граждан фактически внешние воды мирового капиталистического океана каких либо шлюпок спасательных кругов вывод видите человеческая природа вовсе остается неизменной вполне изменить почему использовать подобные наработки улучшения человека общества почему подобные технологии используются нынче целых наций стада говнюков делать ссср попытался прикидываться дураком ссср попытался разглядеть воспитать человеке те высокие идеалы которые собственно должны идее отличать человека животного животная сущность людей быстро приспособилась вс извратила потомучто сможете создать порядок который реально подчинит стремления инстинкты людей просто сможете просчитать вс повороты возможности плане капитализм гораздо честнее коммунизма потомучто крайней мере учит утопическим идеалам честно дает каждому возможность стать человеком другое дело люди массе используют возможности это проблемы людей коммунизм попытался линейке одну гребенку просто тупо загнать рамки итоге момента развала ссср коммунизм это прибежище романтиков идеалистов которые хотят смотреть жизни глаза печальнее потомучто это часто лучшие люди которые могли служить обществу человек это животное это человеческое общество сможет построить такую идеологию которая научно заводским способом воспитывать высокие идеалы научно заводским способом воспитывать животные идеалы это пожалуйста это наблюдаем повсеместно довольным хрюканьем потребляют оглядываются делаю вывод значит заслужили люди заслужили животными хрюкать потреблять отвлекать силой тащить какое светлое будущее оно каждый волен отставить корыто развить искру бога такая возможность каждого это ещ трудовое братство вполне научной марксистско ленинской позиции стою просто эта картинка неплохо иллюстрирует данный вопрос бредовую позицию человеческую природу алчную эгоистическую честно говоря научного вашей позиции ровно столько сколько моей демагога встретившиеся полях былых сражений роетесь сгнившей трухе прошлых лет рассматриваете пепел ищите ответы рылся пока понял насколько бездарно трачу время это понял мир раскрылся передо мной рекомендую сдернуть шоры глаз посмотреть мир каков нафантазировали,0.0
можете представить говорит вашей фантазии,0.0
смотрите кокой грозный пынявый лох своими титиническими легкими мощно задуваю сочную американскую залупу,1.0
честно очень бездарный пропагандист своего рода быдло стане элит пропагандистов понимаешь совокупности контент пропаганды целом рассчитан людей недал ких отсутствием критического мышления твой контент рассчитан просто умственно отсталых,1.0
знал тошнит виде,1.0
ок дурачок переживаешь хохлов получай громадство голосуй кого хочешь,1.0
фашики плен которые сдались отсидели свое остались,0.0
пустоту тебе сфотографировать,0.0
уходи сдохнешь,1.0
списала долги третьих стран ссср которые должны достаться числе казахстану какие русские уроды умные,1.0
реально дурачек всерьез думаешь валакас валера пэниски хуиски т д это интернет образы ирл скрывает денчик это часть шоу развлечения это понимают нормис рэале нему подойти думаю юморком относится рапич аутяра реально бычит нему зрители подходят случае это образ стримов реальной жизни долбаеб,1.0
вет академию сиб тракте хвалят боюсь ставить эксперименты пока наблюдаемся спасибо,0.0
п стрый скакунчик,0.0
пук пук пук пук малолетний дебил насральненок навалил гавна каментах,1.0
конкретно ошибаешься чебурашку проголосую мразь плешивую,1.0
та хуйня это джентельменство свое время брачные игрища сильно заебали вообще перестал париться начал вести обычно этих ужимок образа славного парня зазрения совести девушками курил харкался матерился сапожник рассказывал охуитительные истории обосрался бухал ебал кого проснулся обблеванной тян пересказывал пасты говно т д т е вел быдлан обычно веду вокруг никого девушки начали тянуться сделал вывод девушки вообще воспринимают говоришь делаешь т д воспринимают лишь это говоришь делаешь начал вести обычно делал это блять уверенно самовлюбленно нагло аки самец это будило девушках какие инстинкты думали стиле быдло зато уверенный вах просто хуй знает такое поведение позволило пользоваться определенной популярностью девушек вообще покопаться всей теме образ отношений любви поведения этих брачных игрищах это навязывается нам рождения источниками массовой информации книги фильмы красивые любовные истории т д веди джентельмен жди ту которая встрепетнет твою душу которой твое сердце забьется чаще животе будут летать бабочки положи жизнь счастье второй половинки будь горой добытчиком ебырем террористом вся эта прочая романтичная сопливая хуета это корне верно реальная любовь отношения имеют общего нам рождения вбивают голову высокие чувства обычное желание ебаться видишь человека получаешь дозу гормона кайфуешь видишь человека дозы гормона появляется ломка ищешь способы увидеть человека тебе описание любви какое время чувства угаснут иначе кроме этих чуйств нихуя развод девичья фамилия настоящая любовь это тысячи причин вместе помимо стойкое желание ебаться желание ебаться прошло равно приятно находиться вместе такое навязывание светлой романтишной любви моей памяти вызывало мало проблем моих знакомых девушек втупую сидели ждали принца белом коне годами ссылаясь охуенные фразочки твое пропустишь обещанного года ждут прочую ебанину некоторым пытался лезть кандидат парни ухаживал звал гулять пытался побольше времени проводить ними упиралось одну хуйню именно парень очень популярен вообще уровень целые армии девушек желающих попрыгать куканчике вся такая красивая посижу попе смирно нихуя буду делать обязательно заметит пока буду отметать кучу нормальных вариантов отношений ох бедная несчастная парня найти могу лет девках хожу почему детства вбивали ухаживать должны мальчики подкатывать должны мальчики вся такая красивая должна сидеть ждать пока тебе подкатят лишь отсеивать нормальных парней ожидании прынца белом коне именно любовь работает нахуй чето занесло печет пиздец это джентельменство хуйня собачья образ современной любви та дичь надеюсь пару десятков поколений весь романтизм брачные игрища станут архаизмом люди просто будут влюбляться вместе социально любовного шлака,0.0
одна ожидала баба провизор решит уронили кропаль папиросы крошки печенья зы заворачивать печенье папиросную бумагу,0.0
конце апреля года киев приехал анальный господин миру вячеслав володин доверенное лицо путина задача заключалась месте согласовать объ м поставок газа украине стороны россии белоруссии белорусскую сторону киеве представлял лично президент лукашенко речь шла транзите визит господина крайне поч тен порошенко символизировал повышение градуса чиновничьей иерархии российской многонационалии шумерский деспот организовал дорогому гостю царский м зная пристрастиях выделил киевской киберсотни секс жемчужину красивого мальчика очаровательной попкой избежавшего благодаря своей упругой попке участия ато визит закончился господин ласково попрощался президентом неожиданно добавил хлопчика собой забираю нормальный хлопчик чета моей лахте москве точно карьеру сделает порошенко бросился колени пытался свой лунопопый персик перемогу очей зраду вселенной отмолить помогло россиянин погрузил добычу самол т улетел дело высоких чувствах господина володина дипломатической школе российской дипломатии накопился большой опыт опускания сельских свинюшек знают облупленных управляют мастерски щелчок конфетка щелчок,1.0
